id,intent_label,should_escalate,escalation_reason,reply_quality,difficulty,customer_message,brand_reply
gold_0049,driver_quality_issue,YES,Unresolved in metadata,1,hard,<MENTION> Means Uber doesn’t take responsibility of thr drivers wat they do duri,<MENTION> Thank you for providing that information. A member of our team has bee
gold_0050,driver_quality_issue,YES,Angry/frustrated customer; Unresolved in metadata,1,hard,<MENTION> driver ditches me in a foreign country - <MENTION> resp - we don’t do ,<MENTION> We see your outreach and a member of our team will be following up via
gold_0051,driver_quality_issue,YES,Unresolved in metadata,3,hard,"See, this is why I don't use <MENTION> it's always something with their company ",<MENTION> Happy to help! Please confirm your email address or phone number and a
gold_0052,lost_found_item,NO,,1,medium,<MENTION> No one has reached out. At all. I need my keys back!! I absolutely kno,"<MENTION> Thanks for getting back to us, Theresa. If you hear anything next, it "
gold_0053,lost_found_item,NO,,2,medium,"<MENTION> <MENTION> That's the whole issue, UberEATS need to offer phone support","<MENTION> Hello, Paul! Thanks for your patience. Please check your DM for our re"
gold_0054,lost_found_item,NO,,3,medium,<MENTION> hello my mum forgot her phone charging in an uber. It was on low batte,<MENTION> Due to our privacy policy. We're not able to address these concerns ov
gold_0055,lost_found_item,NO,,3,medium,<MENTION> I left my phone in my last ride. There is no way for me to sign in wit,"<MENTION> Sorry to hear you've lost your phone, Mia. DM us your Uber email, phon"
gold_0056,lost_found_item,NO,,2,medium,"<MENTION> left my wallet in the ride 3 hours ago, I can’t even get into my resid",<MENTION> We have received your DM and will follow up there. Thanks.
gold_0057,lost_found_item,YES,Brand reply is generic/unhelpful; Unresolved in metadata,2,medium,<MENTION> howdy! Left my phone in an uber half an hour ago in SE London. Can't l,<MENTION> We can definitely take a closer look! Contact us here;.<URL> so we can
gold_0058,lost_found_item,NO,,3,medium,Thanks <MENTION> for taking away my ride pass when I still had a WHOLE DAY left ,<MENTION> Sorry to hear about the trouble. Let's take a further look into this f
gold_0059,lost_found_item,YES,Financial issue; Unresolved in metadata,4,hard,"<MENTION> <MENTION> what a joke, I lost my item in Uber and you are asking me to",<MENTION> We've located your support request and a member of our team will follo
gold_0060,lost_found_item,YES,Angry/frustrated customer; Financial issue; Unresolved in metadata,2,hard,"So angry with <MENTION>, ordered lunch from <MENTION> who are always great but u","<MENTION> Hello, Lauren. We've gone ahead and followed up with you via DM regard"
gold_0061,lost_found_item,YES,Brand reply is generic/unhelpful; Unresolved in metadata,2,hard,<MENTION> <MENTION> <MENTION> <MENTION> HELP I HAVE LEFT MY PASSPORT IN AN UBER,<MENTION> We're here to help! Send us a DM (direct message) with your email addr
gold_0062,lost_found_item,YES,Brand reply is generic/unhelpful; Unresolved in metadata,3,hard,<MENTION> help me get my cell phone! I️ just left it in the Uber!! #uber #uberhe,<MENTION> Here to help! Please send us a DM with your email address for further 
gold_0063,lost_found_item,YES,Unresolved in metadata,1,hard,<MENTION> left my phone in an uber and can't login into my account because it se,<MENTION> Thank you for providing the info. We are looking into your account rig
gold_0064,lost_found_item,YES,Financial issue; Unresolved in metadata,1,hard,<MENTION> I have already taken alternate mode of transport you lost business the,"<MENTION> We see your outreaches through in app support, Chirag. A member of our"
gold_0065,lost_found_item,YES,Financial issue; Unresolved in metadata,1,hard,Vry disapntd wid #UberEATS...order status delvrd bt food nt delvrd_money lost_Cu,"<MENTION> Hi, Bhavik! We see your outreach and a member of our team will be foll"
gold_0066,other,NO,,3,medium,"<MENTION> You run a promotion for a restaurant in Cape Town on UBER Eats, but th",<MENTION> We'd like to look into this. Please DM us the email address associated
gold_0067,other,YES,Brand reply is generic/unhelpful,3,medium,Winnipeg totally does not need #Uber waiting 45 min for someone to answer the ph,<MENTION> We're sorry to hear this was your experience. Contact us via <URL> and
gold_0068,other,YES,Brand reply is generic/unhelpful,3,medium,<MENTION> kinda pissed with you guys. Can’t use my Uber credits.no help when I a,<MENTION> Sorry to hear that! Send us a note via <URL> so that our team can conn
gold_0069,other,NO,,1,medium,<MENTION> Uber why you didn't send offer coupon like ola?,<MENTION> Hi there! Please reach out to <URL> and fill out the boxes at the bott
gold_0070,other,NO,,2,medium,I also FELL out of the Uber and hit my head and this would explain a lot,<MENTION> We take this very seriously. Please send us a DM with your email addre
gold_0071,other,YES,Angry/frustrated customer,2,medium,"<MENTION> <MENTION> had a problem with last ride, been trying to reach you throu",<MENTION> We've received your DM and a member of our team has reached out. Pleas
gold_0072,other,YES,Angry/frustrated customer; Unresolved in metadata,3,medium,<MENTION> hi i’m low key furious from my experience with uber eats this weekend,<MENTION> We're here to help! Please send us a DM with your email address and mo
gold_0073,other,YES,Unresolved in metadata,1,hard,<MENTION> just launched rides to Chandigarh/Jaipur in Delhi NCR. Will it work of,<MENTION> Happy to help! Please reach out to <URL> and fill out the 4 boxes at t
gold_0074,other,YES,Unresolved in metadata,1,hard,<MENTION> hahaha i've checked my email just now.. havent received any from uber.,<MENTION> We can confirm we have followed up with the email address linked to yo
gold_0075,other,YES,Unresolved in metadata,3,hard,"Seriously, UBER?!?! SERIOUSLY?!?!?? So many cars nearby yet you will throw me to",<MENTION> Sorry to hear about that. Can you please send us a DM with your email 
gold_0076,other,YES,Unresolved in metadata,2,hard,<MENTION> Yesterday I gave my uber link to 2 new Thai friends and they signed up,<MENTION> Happy to take a closer look! Send us a DM with your email address and 
gold_0077,other,YES,Unresolved in metadata,2,hard,<MENTION> <MENTION> look at the pick ups that you have assigned today in my shar,<MENTION> Thanks for reaching out. We'll get this sorted out! Please send us a n
gold_0078,other,YES,Unresolved in metadata,1,hard,<MENTION> I haven’t received a ride request in 2.5 hours. Is there another outag,"<MENTION> Please go here <URL> so we can follow up, Damon."
gold_0079,other,YES,Angry/frustrated customer; Unresolved in metadata,1,hard,<MENTION> i am from greece and i want to know if i can call for Uber that have e,<MENTION> Happy to clarify - you can always have another person request a ride t
gold_0080,payment_disputed_charge,NO,,3,medium,Booked an Uber pool from dlf cyber City to sector 21 which was costing me just r,<MENTION> We can definitely take a closer look! Please send us a note via <URL> 
gold_0081,payment_disputed_charge,YES,Financial issue,1,medium,<MENTION> Why I am charged ₹52.50 for ride that was cancelled because of driver ,<MENTION> Our team is reviewing your email now and will be in touch. We apprecia
gold_0082,payment_disputed_charge,YES,Financial issue; Brand reply is generic/unhelpful,2,medium,You guys charged my card twice for one ride. <MENTION>,<MENTION> Here to help! Follow up here; <URL> and our team will connect right aw
gold_0083,payment_disputed_charge,YES,Financial issue,1,medium,"<MENTION> <MENTION> driver cursed at me, threated me, and denied service - I️ ne",<MENTION> Thanks! We'll follow up there.
gold_0084,payment_disputed_charge,YES,Brand reply is generic/unhelpful,3,medium,<MENTION> Hi. My friends and I took the same journey yesterday in two different ,<MENTION> Here to help! Please send us a DM with your email address for further 
gold_0085,payment_disputed_charge,NO,,2,medium,<MENTION> I don't think it's fair to pay cancelled fees when a driver take a rid,<MENTION> That doesn't sound right. DM us your account email along with details 
gold_0086,payment_disputed_charge,YES,Brand reply is generic/unhelpful,3,medium,<MENTION> Hi! My friend left phone in a drivers car under my account & driver is,<MENTION> We're here to help! Send us a DM (Direct message) with your email addr
gold_0087,payment_disputed_charge,YES,Unresolved in metadata,2,hard,<MENTION> do not keep a track of the drivers they send out i feel #unsafe #uberi,<MENTION> We'd be happy to take a look. Please send us the details to <URL> and 
gold_0088,payment_disputed_charge,YES,Financial issue; Unresolved in metadata,2,hard,Why <MENTION> driver sucks every time? Stop <MENTION> Or non cash drives. Driver,"<MENTION> Hi, Bhaskar. To give this matter the attention it deserves, please sen"
gold_0089,payment_disputed_charge,YES,Financial issue; Brand reply is generic/unhelpful; Unresolved in metadata,3,hard,<MENTION> <MENTION> If driver cancelled my trip..why I am being charged for the ,<MENTION> Here to help! Send us a DM with your email address so we can assist.
gold_0090,payment_disputed_charge,YES,Financial issue; Account issue; Unresolved in metadata,2,hard,<MENTION> <MENTION> <MENTION> Your driver behaves rudely and cancels the trip af,"<MENTION> Hi Priyanka, we've sent a DM."
gold_0091,payment_disputed_charge,YES,Financial issue; Brand reply is generic/unhelpful; Unresolved in metadata,3,hard,"<MENTION> hi guys my account has been hacked, and some large uber eats charge ha",<MENTION> We apologize for the trouble! Send us a DM with your email address and
gold_0092,payment_disputed_charge,YES,Financial issue; Unresolved in metadata,3,hard,<MENTION> where I can lodge complaint against uber wrong charging. Over charged,<MENTION> Sorry to hear about that! Send us a DM (direct message) with your emai
gold_0093,payment_disputed_charge,YES,Financial issue; Brand reply is generic/unhelpful; Unresolved in metadata,2,hard,<MENTION> my uber driver never actually picked me up and I was charged for a rid,<MENTION> We're here to help! Send us a DM with your email address so we can fol
gold_0094,payment_refund,YES,Financial issue; Brand reply is generic/unhelpful,2,medium,<MENTION> hello. I was just charged $35 for a ride I did not take yesterday 12/0,<MENTION> Here to help! Please send us a note via <URL>
gold_0095,payment_refund,YES,Financial issue,3,medium,<MENTION> took $ from wrong credit card & its response to request 4 refund of fe,<MENTION> Hey Paul! We are happy to help. We need your email and phone number so
gold_0096,payment_refund,YES,Financial issue,2,medium,<MENTION> I am literally being charged by the minute for a ride I am not on! And,"<MENTION> We just got back to you via DM, Ash."
gold_0097,payment_refund,YES,Financial issue,3,medium,"<MENTION> <MENTION> how is 18 minutes for a driver to drive next door, a couple ",<MENTION> Let's take a further look into this. Please send us a DM with your ema
gold_0098,payment_refund,YES,Angry/frustrated customer; Financial issue,2,medium,<MENTION> just ruined my night... Uber driver delivered food to another family a,<MENTION> Please DM us the order number & your account email address so we can g
gold_0099,payment_refund,YES,Financial issue,1,medium,"<MENTION> you charged me wrong cancellation of my first trip, pl return my money","<MENTION> Hi, Uttam. Please refer to this link regarding being charged an cancel"
gold_0100,payment_refund,YES,Financial issue,3,medium,Hey <MENTION> I took a pool last night that was supposed to be $17 but im pretty,<MENTION> We can definitely take a look! Kindly send us a note here; <URL> and o
gold_0101,payment_refund,YES,Financial issue; Unresolved in metadata,2,hard,<MENTION> got charge double for the same ride refuse to do anything about it kee,<MENTION> Thanks for letting us know! We don't have any messages from you on thi
gold_0102,payment_refund,YES,Financial issue; Unresolved in metadata,1,hard,"<MENTION>, I had to pay airport parking fee and toll for a ride booked this morn",<MENTION> It seems a member of our team has reached out to you. Please check you
gold_0103,payment_refund,YES,Financial issue; Unresolved in metadata,1,hard,<MENTION> <MENTION> I will do. But please do help. One of my previous help query,<MENTION> Our team is reviewing your email now and will be in touch. We apprecia
gold_0104,payment_refund,YES,Financial issue; Unresolved in metadata,3,hard,<MENTION> <MENTION> <MENTION> I will not ask for the refund or any relook into t,"<MENTION> Sorry to hear that, Gaurav! However, we do show that the appropriate t"
gold_0105,payment_refund,YES,Angry/frustrated customer; Financial issue; Unresolved in metadata,3,hard,Check your receipts! My <MENTION> driver lied to get more money & I was forced t,<MENTION> Our privacy policy prevents us from sharing such information. You're m
gold_0106,payment_refund,YES,Financial issue; Unresolved in metadata,3,hard,<MENTION> I did. I explained the issue in multiple replies and requested a refun,<MENTION> Sorry to hear about the trouble. Our team has looked into your trip an
gold_0107,payment_refund,YES,Financial issue; Unresolved in metadata,2,hard,Used <MENTION> for 1st time today. Was great. Used it 2nd time & it sucked. Driv,<MENTION> Let's take a closer look! Send us a DM with your email address so we c
gold_0108,ride_cancellation,NO,,2,medium,<MENTION>: I had to cancel 6 rides because driver refused to go to the drop loca,<MENTION> Here to help! Please reach out to <URL> and fill out the boxes at the 
gold_0109,ride_cancellation,YES,Brand reply is generic/unhelpful; Unresolved in metadata,3,medium,<MENTION> <MENTION> kindly inform your drivers they don't do us as any favor the,<MENTION> Sorry to hear about that! Send us a note via <URL> so our team can get
gold_0110,ride_cancellation,YES,Angry/frustrated customer; Brand reply is generic/unhelpful,2,medium,<MENTION> <MENTION> God this is the thing I hate about uber. Why should this be ,<MENTION> We'd be happy to review any cancellation fees. Please contact us throu
gold_0111,ride_cancellation,NO,,2,medium,<MENTION> what's up with the scheduling function? Why was my ride cancelled?,<MENTION> Here to help! Please reach out to <URL> and fill out the 4 boxes at th
gold_0112,ride_cancellation,YES,Brand reply is generic/unhelpful,2,medium,<MENTION> <MENTION> I love how your drivers call and ask ppl where they are goin,<MENTION> We're happy to follow up further. Can you please send us a DM with you
gold_0113,ride_cancellation,NO,,3,medium,<MENTION> 3 driver cancellation out of 4 attempts. When do you compensate the cu,<MENTION> Sorry to hear about the trouble! Please visit <URL> to view the cancel
gold_0114,ride_cancellation,YES,Brand reply is generic/unhelpful,2,medium,<MENTION> Urgent help needed. I've been unable to request a ride successfully fo,<MENTION> Here to help! Send us a note at <URL> so our team can connect.
gold_0115,ride_cancellation,YES,Unresolved in metadata,2,hard,Is this what customer is supposed to pay when he/she books Uber cab by mistake a,<MENTION> We can definitely take a look! Send us a DM with your email address so
gold_0116,ride_cancellation,YES,Unresolved in metadata,3,hard,<MENTION> once again your driver called me for my destination then cancelled. Sh,"<MENTION> Sorry to hear about this experience, John. We appreciate you bringing "
gold_0117,ride_cancellation,YES,Unresolved in metadata,1,hard,<MENTION> trying to use Uber in Saigon / HCMC is horrible experience. So many ca,<MENTION> Our team is reviewing your email now and will be in touch. We apprecia
gold_0118,ride_cancellation,YES,Unresolved in metadata,4,hard,"<MENTION> I got cancel for my ride to school, now I’m late. Thank you so much.",<MENTION> Sorry to hear about the trouble. We've added a $10 credit to your acco
gold_0119,ride_cancellation,YES,Brand reply is generic/unhelpful; Unresolved in metadata,2,hard,Hello <MENTION> <MENTION> Your driver is denied the duty and he us not coming no,<MENTION> We're here to help! Send us a DM with your email address so we can con
gold_0120,ride_cancellation,YES,Unresolved in metadata,1,hard,<MENTION> <MENTION> <MENTION> ..trip details. still. not able to cancel or call ,<MENTION> Our team is currently reviewing your email and will follow up. Thanks!
gold_0121,ride_cancellation,YES,Unresolved in metadata,1,hard,<MENTION> 1/1 Why you show attitude towards your customer? Showing outstanding a,<MENTION> Thanks for your patience. Rest assured a member of our team will be re
gold_0122,ride_dropoff_issue,YES,Angry/frustrated customer; Brand reply is generic/unhelpful,3,medium,<MENTION> worst ride of my life!!!! Dude almost crashed twice and then dropped m,<MENTION> Here to help! Send us a note here <URL> so we can assist.
gold_0123,ride_dropoff_issue,NO,,2,medium,<MENTION> <MENTION> How can I change the destination in the application to the r,"<MENTION> Here to help, Haroon. Please visit <URL> for info on this issue. DM us"
gold_0124,ride_dropoff_issue,YES,Brand reply is generic/unhelpful,2,medium,<MENTION> IDK what in God's name is going on with your app that it has frozen on,<MENTION> Here to help. Send us a note at <URL> so our team can connect.
gold_0125,ride_dropoff_issue,NO,,1,medium,"<MENTION> Drunk rider entered the wrong address, changed mid trip, rated me 1-St",<MENTION> Find out more info about ratings here; <URL>
gold_0126,ride_dropoff_issue,NO,,1,medium,"Another ""efficient"" route courtesy of Uber pool. Idk how I got matched with drop",<MENTION> Happy to help. Please go here <URL> so we can follow up.
gold_0127,ride_dropoff_issue,YES,Brand reply is generic/unhelpful,2,medium,<MENTION>'s pool system sucks. The dropoffs are so far from one another and it m,<MENTION> Here to help! Send us a note via <URL> so our team can connect.
gold_0128,ride_dropoff_issue,NO,,2,medium,<MENTION> Can smart dropoffs give a walk estimate time? That would be helpful fo,<MENTION> We have followed up via DM.
gold_0129,ride_pickup_issue,NO,,2,medium,"<MENTION> Hi. I have a #Blackberry #Passport, is there any way I can use Uber to","<MENTION> We've followed up with a DM, Oscar! Please check there for more detail"
gold_0130,ride_pickup_issue,NO,,1,medium,<MENTION> Who can we contact about setting up an uber suggested pickup zone in S,<MENTION> Hi there! Please reach out to <URL> and fill out the 4 boxes at the bo
gold_0131,ride_pickup_issue,YES,Brand reply is generic/unhelpful,2,medium,"<MENTION> How much data does Uber RIDER app use on average, if it runs a few min",<MENTION> Here to help! Follow up here; <URL> and our team will connect right aw
gold_0132,ride_pickup_issue,YES,Brand reply is generic/unhelpful,2,medium,"<MENTION> v disappointed at your service, leaving 3 girls stranded at the side o",<MENTION> Here to help. Send us a note at <URL> so our team can connect.
gold_0133,ride_pickup_issue,NO,,2,medium,<MENTION> First after confirmation pickup shifts to across London now waiting 10,<MENTION> Hey there! We've just followed up with you via DM.
gold_0134,ride_pickup_issue,NO,,3,medium,Hey <MENTION> why is my ride being denied I have plenty of money and I'm strande,"<MENTION> Hi, here to help. Please DM us the email linked to your Uber account s"
gold_0135,ride_pickup_issue,YES,Brand reply is generic/unhelpful,2,medium,<MENTION> I am stranded in my college town without a ride.,<MENTION> We can definitely take a closer look. Please send us your email addres
gold_0136,ride_pickup_issue,YES,Unresolved in metadata,2,hard,<MENTION> I tried to buy my ride pass the moment I got the sale email and is say,<MENTION> We've been in touch via DM!
gold_0137,ride_pickup_issue,YES,Unresolved in metadata,1,hard,<MENTION> stranded at Ahmedabad airport in the midnight with family bcos of Uber,"<MENTION> Thanks for that info, Rajesh. We've sent you a message, so please chec"
gold_0138,service_quality,YES,Angry/frustrated customer,3,medium,<MENTION> Raised a issue last Thursday didn't get any response. Worst customer s,<MENTION> Sorry to hear about the trouble! A member of our team has responded to
gold_0139,service_quality,NO,,2,medium,<MENTION> Your services are crap its the first time I used Uber and got issues i,"<MENTION> Hi, Punkaj. Please follow up with us via direct message (DM) so we can"
gold_0140,service_quality,YES,Brand reply is generic/unhelpful,2,medium,"<MENTION> Hi Team, I am frequent user of your service, looking for more ride pas",<MENTION> Here to help! Find out more info here: <URL>
gold_0141,service_quality,NO,,2,medium,<MENTION> your service in Toronto stinks. Ill never ride again.,<MENTION> We're here to help! Send us a DM with your email address and more deta
gold_0142,service_quality,YES,Unresolved in metadata,2,medium,"<MENTION> <MENTION> Hilarious service; waste of money, I would like to travel wi",<MENTION> We're here to help! Send us a DM with your email address and more deta
gold_0143,service_quality,YES,Angry/frustrated customer,3,medium,"Dear <MENTION> #Toronto, you are the WORST. Still waiting 100 minutes later for ",<MENTION> We're sorry to hear this. Can you please send us a DM with your email 
gold_0144,service_quality,NO,,2,medium,<MENTION> <MENTION> will Uber Islamabad office be opened tomorrow (Sunday)?,<MENTION> We've sent a DM.
gold_0145,service_quality,YES,Angry/frustrated customer; Unresolved in metadata,1,hard,<MENTION> nd <MENTION> uh were my best option till <URL> was the Worst experienc,<MENTION> We see your outreach and a member of our team will be following up via
gold_0146,service_quality,YES,Unresolved in metadata,2,hard,<MENTION> This is the same request that is going on since Thursday #uber #Custom,<MENTION> We see your message and will be following up via DM.
gold_0147,service_quality,YES,Unresolved in metadata,1,hard,I am waiting for resolution of the matter after the follow up which Uber promise,<MENTION> We've followed up within your Direct Messages!
