id,customer_message,intent_inferred,intent_label,should_escalate,escalation_reason,reply_quality,difficulty,notes
gold_0030,<MENTION> Second time now uber is saying a restaurant is too far away that I usually order from. It ,delivery_timing,,,,,medium,
gold_0031,<MENTION> not only was he threatening but he almost caused an accident. My hotel will no longer uber,delivery_timing,,,,,medium,
gold_0032,<MENTION> delayed delivery 2 days in a row... customer support not accessible. #worstservice #nevero,delivery_timing,,,,,medium,
gold_0033,#UberEATS What terrible service. Ordered in Edinburgh on Sat - took 1.5 hours. Ordered in Moscow now,delivery_timing,,,,,medium,
gold_0034,also this is the first time i order from uber eats here and im crying it took literally 15 min since,delivery_timing,,,,,medium,
gold_0035,<MENTION> Uber prtnr app's builtin map no longer zoom in automatically when picking up food from a r,delivery_timing,,,,,medium,
gold_0036,"Call UberEats about my order an hour late, <MENTION> puts me on a line with no person but lots of ty",delivery_timing,,,,,hard,
gold_0037,<MENTION> Hey Uber - I'm looking to contact someone and email about our business + UberEats. Can you,delivery_timing,,,,,hard,
gold_0038,<MENTION> Lost my phone in Uber. Unable to contact the driver. Cannot log in to my account. Help,driver_quality_issue,,,,,medium,
gold_0039,"<MENTION> Apparently there were ""no drivers"" because of the heat... weird excuse to me since LA is a",driver_quality_issue,,,,,medium,
gold_0040,"<MENTION> ur drivers are insane. He hit a guy, and b4 I could see the plate, he ran away. Accident h",driver_quality_issue,,,,,medium,
gold_0041,Unsatisfactory response from <MENTION> regarding a driver eating and driving. Unacceptable customer ,driver_quality_issue,,,,,medium,
gold_0042,<MENTION> the item was returned to me but only after the driver insisted i pay him $30 ... very unpr,driver_quality_issue,,,,,medium,
gold_0043,<MENTION> <MENTION> thanks to your drivers we missed out flight. That's 10k I'm never seeing again #,driver_quality_issue,,,,,medium,
gold_0044,An <MENTION> driver told my wife to get the f—k out of his car after she apologized for not seeing h,driver_quality_issue,,,,,medium,
gold_0045,<MENTION> <MENTION> <MENTION> Do you have any emergency customer service no.? What should a female c,driver_quality_issue,,,,,hard,
gold_0046,<MENTION> i had booked a 2-drop ride bt Driver deliberately ended trip in between and forced me to b,driver_quality_issue,,,,,hard,
gold_0047,Serious threat to ur smart device <MENTION>. Drivers steal the 📱 & refuse to return it. Uber can’t h,driver_quality_issue,,,,,hard,
gold_0048,<MENTION> <MENTION> It looks like the driver has never cleaned that seat at all and poured a glass o,driver_quality_issue,,,,,hard,
gold_0049,<MENTION> Means Uber doesn’t take responsibility of thr drivers wat they do during ride,driver_quality_issue,,,,,hard,
gold_0050,<MENTION> driver ditches me in a foreign country - <MENTION> resp - we don’t do anything even though,driver_quality_issue,,,,,hard,
gold_0051,"See, this is why I don't use <MENTION> it's always something with their company or their drivers.",driver_quality_issue,,,,,hard,
gold_0052,<MENTION> No one has reached out. At all. I need my keys back!! I absolutely know they were left in ,lost_found_item,,,,,medium,
gold_0053,"<MENTION> <MENTION> That's the whole issue, UberEATS need to offer phone support, like myself being ",lost_found_item,,,,,medium,
gold_0054,<MENTION> hello my mum forgot her phone charging in an uber. It was on low battery.,lost_found_item,,,,,medium,
gold_0055,<MENTION> I left my phone in my last ride. There is no way for me to sign in without a phone number.,lost_found_item,,,,,medium,
gold_0056,"<MENTION> left my wallet in the ride 3 hours ago, I can’t even get into my residence without it. How",lost_found_item,,,,,medium,
gold_0057,<MENTION> howdy! Left my phone in an uber half an hour ago in SE London. Can't login to the Help sec,lost_found_item,,,,,medium,
gold_0058,Thanks <MENTION> for taking away my ride pass when I still had a WHOLE DAY left 🙃,lost_found_item,,,,,medium,
gold_0059,"<MENTION> <MENTION> what a joke, I lost my item in Uber and you are asking me to take legal action i",lost_found_item,,,,,hard,
gold_0060,"So angry with <MENTION>, ordered lunch from <MENTION> who are always great but uber have lost my mai",lost_found_item,,,,,hard,
gold_0061,<MENTION> <MENTION> <MENTION> <MENTION> HELP I HAVE LEFT MY PASSPORT IN AN UBER,lost_found_item,,,,,hard,
gold_0062,<MENTION> help me get my cell phone! I️ just left it in the Uber!! #uber #uberhelp,lost_found_item,,,,,hard,
gold_0063,<MENTION> left my phone in an uber and can't login into my account because it sends an authenticatio,lost_found_item,,,,,hard,
gold_0064,"<MENTION> I have already taken alternate mode of transport you lost business there & I lost my time,",lost_found_item,,,,,hard,
gold_0065,Vry disapntd wid #UberEATS...order status delvrd bt food nt delvrd_money lost_Cust care no help.. <M,lost_found_item,,,,,hard,
gold_0066,"<MENTION> You run a promotion for a restaurant in Cape Town on UBER Eats, but the restaurant is clos",other,,,,,medium,
gold_0067,Winnipeg totally does not need #Uber waiting 45 min for someone to answer the phone is totally accep,other,,,,,medium,
gold_0068,<MENTION> kinda pissed with you guys. Can’t use my Uber credits.no help when I ask why! Thinking abo,other,,,,,medium,
gold_0069,<MENTION> Uber why you didn't send offer coupon like ola?,other,,,,,medium,
gold_0070,I also FELL out of the Uber and hit my head and this would explain a lot,other,,,,,medium,
gold_0071,"<MENTION> <MENTION> had a problem with last ride, been trying to reach you through your help section",other,,,,,medium,
gold_0072,<MENTION> hi i’m low key furious from my experience with uber eats this weekend,other,,,,,medium,
gold_0073,<MENTION> just launched rides to Chandigarh/Jaipur in Delhi NCR. Will it work of towns/cities on the,other,,,,,hard,
gold_0074,<MENTION> hahaha i've checked my email just now.. havent received any from uber.. please resend ya..,other,,,,,hard,
gold_0075,"Seriously, UBER?!?! SERIOUSLY?!?!?? So many cars nearby yet you will throw me to someone that’s 2km ",other,,,,,hard,
gold_0076,<MENTION> Yesterday I gave my uber link to 2 new Thai friends and they signed up. 1 friend already u,other,,,,,hard,
gold_0077,<MENTION> <MENTION> look at the pick ups that you have assigned today in my share ride. Estimated ti,other,,,,,hard,
gold_0078,<MENTION> I haven’t received a ride request in 2.5 hours. Is there another outage??,other,,,,,hard,
gold_0079,<MENTION> i am from greece and i want to know if i can call for Uber that have enough space for 6 pe,other,,,,,hard,
gold_0080,Booked an Uber pool from dlf cyber City to sector 21 which was costing me just rs 59. But my Paytm w,payment_disputed_charge,,,,,medium,
gold_0081,<MENTION> Why I am charged ₹52.50 for ride that was cancelled because of driver on 24/10/2017,payment_disputed_charge,,,,,medium,
gold_0082,You guys charged my card twice for one ride. <MENTION>,payment_disputed_charge,,,,,medium,
gold_0083,"<MENTION> <MENTION> driver cursed at me, threated me, and denied service - I️ never ever experience ",payment_disputed_charge,,,,,medium,
gold_0084,<MENTION> Hi. My friends and I took the same journey yesterday in two different Ubers at the same ti,payment_disputed_charge,,,,,medium,
gold_0085,<MENTION> I don't think it's fair to pay cancelled fees when a driver take a ride and then let you k,payment_disputed_charge,,,,,medium,
gold_0086,<MENTION> Hi! My friend left phone in a drivers car under my account & driver is hustling us for add,payment_disputed_charge,,,,,medium,
gold_0087,<MENTION> do not keep a track of the drivers they send out i feel #unsafe #uberindia <MENTION> booke,payment_disputed_charge,,,,,hard,
gold_0088,Why <MENTION> driver sucks every time? Stop <MENTION> Or non cash drives. Driver asked for cash or t,payment_disputed_charge,,,,,hard,
gold_0089,<MENTION> <MENTION> If driver cancelled my trip..why I am being charged for the same???? <URL>,payment_disputed_charge,,,,,hard,
gold_0090,<MENTION> <MENTION> <MENTION> Your driver behaves rudely and cancels the trip after I'm in the cab &,payment_disputed_charge,,,,,hard,
gold_0091,"<MENTION> hi guys my account has been hacked, and some large uber eats charge have been applied to m",payment_disputed_charge,,,,,hard,
gold_0092,<MENTION> where I can lodge complaint against uber wrong charging. Over charged,payment_disputed_charge,,,,,hard,
gold_0093,<MENTION> my uber driver never actually picked me up and I was charged for a ride!,payment_disputed_charge,,,,,hard,
gold_0094,<MENTION> hello. I was just charged $35 for a ride I did not take yesterday 12/01. This is in additi,payment_refund,,,,,medium,
gold_0095,<MENTION> took $ from wrong credit card & its response to request 4 refund of fees incurred is #disg,payment_refund,,,,,medium,
gold_0096,<MENTION> I am literally being charged by the minute for a ride I am not on! And no on has contacted,payment_refund,,,,,medium,
gold_0097,"<MENTION> <MENTION> how is 18 minutes for a driver to drive next door, a couple hundred feet, and co",payment_refund,,,,,medium,
gold_0098,<MENTION> just ruined my night... Uber driver delivered food to another family and refusing to give ,payment_refund,,,,,medium,
gold_0099,"<MENTION> you charged me wrong cancellation of my first trip, pl return my money so that i can conti",payment_refund,,,,,medium,
gold_0100,Hey <MENTION> I took a pool last night that was supposed to be $17 but im pretty sure something went,payment_refund,,,,,medium,
gold_0101,<MENTION> got charge double for the same ride refuse to do anything about it keep referring me back ,payment_refund,,,,,hard,
gold_0102,"<MENTION>, I had to pay airport parking fee and toll for a ride booked this morning with Paytm cash.",payment_refund,,,,,hard,
gold_0103,<MENTION> <MENTION> I will do. But please do help. One of my previous help query was ignored and ref,payment_refund,,,,,hard,
gold_0104,<MENTION> <MENTION> <MENTION> I will not ask for the refund or any relook into the trip fare anymore,payment_refund,,,,,hard,
gold_0105,Check your receipts! My <MENTION> driver lied to get more money & I was forced to fight the ridiculo,payment_refund,,,,,hard,
gold_0106,<MENTION> I did. I explained the issue in multiple replies and requested a refund. Everything was ig,payment_refund,,,,,hard,
gold_0107,Used <MENTION> for 1st time today. Was great. Used it 2nd time & it sucked. Driver never showed whil,payment_refund,,,,,hard,
gold_0108,<MENTION>: I had to cancel 6 rides because driver refused to go to the drop location and when tried ,ride_cancellation,,,,,medium,
gold_0109,<MENTION> <MENTION> kindly inform your drivers they don't do us as any favor they are doing their jo,ride_cancellation,,,,,medium,
gold_0110,<MENTION> <MENTION> God this is the thing I hate about uber. Why should this be our issue? Cancellat,ride_cancellation,,,,,medium,
gold_0111,<MENTION> what's up with the scheduling function? Why was my ride cancelled?,ride_cancellation,,,,,medium,
gold_0112,<MENTION> <MENTION> I love how your drivers call and ask ppl where they are going and cancel after t,ride_cancellation,,,,,medium,
gold_0113,<MENTION> 3 driver cancellation out of 4 attempts. When do you compensate the customer for their was,ride_cancellation,,,,,medium,
gold_0114,<MENTION> Urgent help needed. I've been unable to request a ride successfully for days due to an out,ride_cancellation,,,,,medium,
gold_0115,Is this what customer is supposed to pay when he/she books Uber cab by mistake and cancel the same w,ride_cancellation,,,,,hard,
gold_0116,<MENTION> once again your driver called me for my destination then cancelled. Shouldn't happen. <URL,ride_cancellation,,,,,hard,
gold_0117,"<MENTION> trying to use Uber in Saigon / HCMC is horrible experience. So many cancellations, late pi",ride_cancellation,,,,,hard,
gold_0118,"<MENTION> I got cancel for my ride to school, now I’m late. Thank you so much.",ride_cancellation,,,,,hard,
gold_0119,Hello <MENTION> <MENTION> Your driver is denied the duty and he us not coming not cancelling the req,ride_cancellation,,,,,hard,
gold_0120,<MENTION> <MENTION> <MENTION> ..trip details. still. not able to cancel or call the driver. driver i,ride_cancellation,,,,,hard,
gold_0121,<MENTION> 1/1 Why you show attitude towards your customer? Showing outstanding amount of RS 42 for c,ride_cancellation,,,,,hard,
gold_0122,<MENTION> worst ride of my life!!!! Dude almost crashed twice and then dropped me off at the wrong d,ride_dropoff_issue,,,,,medium,
gold_0123,"<MENTION> <MENTION> How can I change the destination in the application to the riders guidance, most",ride_dropoff_issue,,,,,medium,
gold_0124,"<MENTION> IDK what in God's name is going on with your app that it has frozen on me n cxld my ride, ",ride_dropoff_issue,,,,,medium,
gold_0125,"<MENTION> Drunk rider entered the wrong address, changed mid trip, rated me 1-Star cause of his mist",ride_dropoff_issue,,,,,medium,
gold_0126,"Another ""efficient"" route courtesy of Uber pool. Idk how I got matched with dropoffs not even close ",ride_dropoff_issue,,,,,medium,
gold_0127,<MENTION>'s pool system sucks. The dropoffs are so far from one another and it makes the commute muc,ride_dropoff_issue,,,,,medium,
gold_0128,<MENTION> Can smart dropoffs give a walk estimate time? That would be helpful for riders.,ride_dropoff_issue,,,,,medium,
gold_0129,"<MENTION> Hi. I have a #Blackberry #Passport, is there any way I can use Uber to request a ride or t",ride_pickup_issue,,,,,medium,
gold_0130,<MENTION> Who can we contact about setting up an uber suggested pickup zone in STL?,ride_pickup_issue,,,,,medium,
gold_0131,"<MENTION> How much data does Uber RIDER app use on average, if it runs a few minutes until a pickup.",ride_pickup_issue,,,,,medium,
gold_0132,"<MENTION> v disappointed at your service, leaving 3 girls stranded at the side of the road with no r",ride_pickup_issue,,,,,medium,
gold_0133,<MENTION> First after confirmation pickup shifts to across London now waiting 10mins in cold for car,ride_pickup_issue,,,,,medium,
gold_0134,Hey <MENTION> why is my ride being denied I have plenty of money and I'm stranded please help,ride_pickup_issue,,,,,medium,
gold_0135,<MENTION> I am stranded in my college town without a ride.,ride_pickup_issue,,,,,medium,
gold_0136,<MENTION> I tried to buy my ride pass the moment I got the sale email and is says its already out! I,ride_pickup_issue,,,,,hard,
gold_0137,<MENTION> stranded at Ahmedabad airport in the midnight with family bcos of Uber,ride_pickup_issue,,,,,hard,
gold_0138,<MENTION> Raised a issue last Thursday didn't get any response. Worst customer service. I think need,service_quality,,,,,medium,
gold_0139,<MENTION> Your services are crap its the first time I used Uber and got issues in my first experienc,service_quality,,,,,medium,
gold_0140,"<MENTION> Hi Team, I am frequent user of your service, looking for more ride passes on my id.. Can I",service_quality,,,,,medium,
gold_0141,<MENTION> your service in Toronto stinks. Ill never ride again.,service_quality,,,,,medium,
gold_0142,"<MENTION> <MENTION> Hilarious service; waste of money, I would like to travel with other services #s",service_quality,,,,,medium,
gold_0143,"Dear <MENTION> #Toronto, you are the WORST. Still waiting 100 minutes later for a simple dish from 3",service_quality,,,,,medium,
gold_0144,<MENTION> <MENTION> will Uber Islamabad office be opened tomorrow (Sunday)?,service_quality,,,,,medium,
gold_0145,<MENTION> nd <MENTION> uh were my best option till <URL> was the Worst experience.Waiting frm an hou,service_quality,,,,,hard,
gold_0146,<MENTION> This is the same request that is going on since Thursday #uber #CustomerService #CustomerE,service_quality,,,,,hard,
gold_0147,I am waiting for resolution of the matter after the follow up which Uber promised. <MENTION> service,service_quality,,,,,hard,
gold_0148,<MENTION> day by day ur services getting worst and worst. Why you guys charging extra everytime. 4 r,service_quality,,,,,hard,
gold_0149,<MENTION> <MENTION> <MENTION> <MENTION> you ppl will never change you don find a proper solution on ,service_quality,,,,,hard,
gold_0150,##uber customer care is the worst #USA #travel,service_quality,,,,,hard,
gold_0151,<MENTION> <MENTION> I'running out of patience. Been calling your customer service but can't get any ,service_quality,,,,,hard,
gold_0152,Booked #UberGo at INR 149 yesterday. Was billed INR 335 though I ended my trip 2 kms before destinat,technical_issue,,,,,medium,
gold_0153,"<MENTION> Hello, I'm registerd with my phone number, but when I try to book a ride, I get an error t",technical_issue,,,,,medium,
gold_0154,"<MENTION> Your app dosent work well on windows. How many ever times I type ""Request UberGo"" It comes",technical_issue,,,,,medium,
gold_0155,"Not cool <MENTION>. I paid for an UberX, double what I would've paid for an UberPool, and got an Ube",technical_issue,,,,,medium,
gold_0156,<MENTION> respond to the uber app queries,technical_issue,,,,,medium,
gold_0157,<MENTION> the uber pool is a really crappy service. It's taken me 6kms of route. I get 1km here ther,technical_issue,,,,,medium,
gold_0158,<MENTION> <MENTION> you should offer a service but for trucks and moving vans too instead of people ,technical_issue,,,,,medium,
gold_0159,<MENTION> I get an error any time I try to request a ride <URL>,technical_issue,,,,,hard,
gold_0160,"<MENTION> thanks! Just got a notification that I have a message, once I tapped it nothing happened j",technical_issue,,,,,hard,
gold_0161,<MENTION> <MENTION> What is this complication in ur app.... not able to reset the password since las,technical_issue,,,,,hard,
gold_0162,"<MENTION> Can you answer why my mailbox is flooded with your promotions, and new offers, I get const",technical_issue,,,,,hard,
gold_0163,<MENTION> Paytm wallet in Paytm app and in uber app don't show the same balance. Can't use my own mo,technical_issue,,,,,hard,
gold_0164,<MENTION> why can’t I schedule a ride in advance? And don’t show me the tips on how to “schedule a r,technical_issue,,,,,hard,
gold_0165,<MENTION> Can't request a ride. I'm logged in but keep getting an error when I try to request. 1/2,technical_issue,,,,,hard,
